,track_id,track_name,preview_url,artist,label,artist_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,loudness_scaled,tempo_scaled
1039,0vGIl4KQF2CpJcNhHCCheA,Unashamed,https://p.scdn.co/mp3-preview/832beda7322019e6e9642d6d456d8e39a28ba934?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.608,0.831,-4.775,0.142,0.108,0.0,0.665,164.006,0.8674218847255075,0.7922306272884484
1040,5vXEPFOkx6eugLNxg4YauT,You Light Up My Life,https://p.scdn.co/mp3-preview/32cea41e5bdf44848209cf3d0f89985fe0bb64bd?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.299,0.365,-8.88,0.028,0.542,0.0,0.0928,94.726,0.6970828665089839,0.45757373754939185
1041,7Kt3rCH3VPNDDJq3iq7v16,Whatchulookinat - Main (A.K.A. Backing Vox Up),https://p.scdn.co/mp3-preview/e675bba93588f6542351dd6e4d5cafb4fcbf547f?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.676,0.878,-3.66,0.148,0.0587,0.0,0.533,105.014,0.9136893647039298,0.5072698992358152
1042,7861kBrZ5aw7o4NfggcyYW,It's Not Right But It's Okay,https://p.scdn.co/mp3-preview/603ef55d402d682905f46b182a541afbbc975611?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.805,0.802,-7.076,0.1,0.162,0.000883,0.531,127.924,0.7719407444292297,0.6179366045464646
1043,4J9u7UsXH7F6sFI32KnYuP,Heartbreak Hotel (feat. Faith Evans & Kelly Price),https://p.scdn.co/mp3-preview/56ebd3fd9e67e66c850e2e2d2e2445832f8a1352?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.724,0.535,-7.616,0.0588,0.0477,0.0,0.664,133.816,0.7495331756504422,0.6463978977673439
1044,1ckU1EhAO0Nr73QYw24SWJ,My Love Is Your Love,https://p.scdn.co/mp3-preview/d85095d0b3a149f2a8b0e0a19f5f07afc0de92c1?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.77,0.475,-9.512,0.159,0.0561,4.72e-06,0.473,82.511,0.6708577119382548,0.3985692065424263
1045,0JN7vUgUolHGHFrOR8xk7S,When You Believe - from The Prince of Egypt,https://p.scdn.co/mp3-preview/4370f823bb018c753ee52ad8359aaf75f4935b46?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.436,0.391,-9.62,0.0326,0.554,0.0,0.126,125.354,0.6663761981824974,0.6055222251205209
1046,6Hk49EZCW2HGJx20LWaQPF,If I Told You That,https://p.scdn.co/mp3-preview/72a2f28d534ee3b689f4103170ef4c5e759c27a0?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.668,0.697,-7.982,0.0351,0.00778,1.36e-05,0.681,100.008,0.7343458234781528,0.48308842709329625
1047,2V7hSVI9YwkKvVUhXY2CbT,"In My Business (feat. Missy ""Misdemeanor"" Elliott)",https://p.scdn.co/mp3-preview/d6fe098018bc000a6e33457d7aa865d104699281?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.752,0.623,-10.153,0.0703,0.0166,0.00454,0.493,96.036,0.6442590978878793,0.46390168970814133
1048,3wACjmQo7ZkRNMLfZXndFB,I Learned from the Best,https://p.scdn.co/mp3-preview/a58db5d0d06751bcbaf612f752632127ad1e97cb?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.609,0.563,-6.284,0.0328,0.0109,7.76e-06,0.306,148.949,0.804805178638118,0.7194978214454782
1049,1U2nYDhFlikoMa1UBp2qtK,Oh Yes,https://p.scdn.co/mp3-preview/4234112b457f205ed6bd1331c27b245fe3f13265?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.769,0.498,-10.59,0.0541,0.0121,4.1e-06,0.253,99.822,0.6261255653761568,0.4821899544967105
1050,3U7PLjhBYzuEH0r5XmNtuI,Get It Back,https://p.scdn.co/mp3-preview/13b28a70453abbbb2ece8037a98059f4181c04fb?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.815,0.633,-7.803,0.0746,0.0169,1.07e-05,0.377,93.588,0.7417735175733435,0.45207663101759266
1051,2uJlJ0F7YIU9740Ggy6JdL,Until You Come Back,https://p.scdn.co/mp3-preview/7c680a0d2c12999f2fe04084aa1be01c42256437?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.678,0.502,-7.999,0.0293,0.0499,5.28e-05,0.262,100.41,0.7336404000165984,0.485030287221401
1052,2VgaALs0kKa9EG76A7T7uB,I Bow Out,https://p.scdn.co/mp3-preview/f7e7eb66e30e26bf6f56dac34a701890cf33f4b0?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.719,0.646,-8.409,0.152,0.0317,0.0,0.681,159.825,0.7166272459438152,0.7720343158565921
1053,3KFbjIFQxMbOKdZ4S3lv4S,You'll Never Stand Alone,https://p.scdn.co/mp3-preview/8123c918f80bbfe7a1f49fbba298773ad3398644?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.703,0.488,-6.943,0.0254,0.105,0.0,0.194,103.907,0.7774596456284495,0.5019225381367803
1054,2nJzMBYSpfg9Y5U88ANDeK,I Was Made To Love Him,https://p.scdn.co/mp3-preview/2a151f402096b8f1bad54285b827c67db55b0696?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.717,0.617,-6.174,0.134,0.0229,0.0,0.716,103.897,0.8093696833893524,0.5018742331584694
1055,1kwNHkKXJ4c4MchgATAOBJ,I Believe In You And Me - Film Version,https://p.scdn.co/mp3-preview/0a6945816b78f35de08ee7a73edb0e1dc9c6b767?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.434,0.268,-11.52,0.0355,0.785,0.0,0.121,119.804,0.5875347524793562,0.57871296215788
1056,5dEBcymDDG9TUjJnAouOPp,Step by Step,https://p.scdn.co/mp3-preview/72d6e4eee0b2c23f4f315346b15b397547d8e58d?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.752,0.79,-8.648,0.0507,0.0797,5.78e-05,0.202,115.976,0.7067098219843149,0.5602218164604045
1057,4KNc21J4RPztm1ZZSCokg3,Joy (with Georgia Mass Choir),https://p.scdn.co/mp3-preview/be6efcbb86a2494d9de404b69702347c827d86b1?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.547,0.697,-6.504,0.0436,0.662,0.0,0.572,77.025,0.795676169135649,0.37206909544097616
1058,2nYSSi21kg6wEseR3JvwEa,"Hold On, Help Is On The Way (with Georgia Mass Choir)",https://p.scdn.co/mp3-preview/8062f850ca16dbaff31e243d36d4af8942365db0?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.565,0.898,-5.626,0.32,0.491,0.0,0.316,85.758,0.832109216150048,0.414253833000029
1059,2Sx7ifYacUq3ZbKJVpsMkm,I Go To The Rock (with Georgia Mass Choir),https://p.scdn.co/mp3-preview/d2ee1e6b09a7369ad42e6e11a0b9c2cc32180f0b?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.596,0.758,-8.47,0.0485,0.268,0.0,0.636,127.803,0.714096020581767,0.6173521143089007
1060,2xrXUa8o1JJtz8nobY2UsY,I Love The Lord (with Georgia Mass Choir),https://p.scdn.co/mp3-preview/43d0233ad236d4daba6fe6d9fe2f5b77c5297711?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.249,0.283,-10.172,0.0305,0.714,7.09e-06,0.0869,101.17,0.6434706834308479,0.488701465573042
1061,2g05nSa5RfTZ6gIsuWVzct,"Somebody Bigger Than You And I (feat. Bobby Brown, Faith Evans, Johnny Gill, Monica & Ralph Tresvant)",https://p.scdn.co/mp3-preview/898cf838804171347629965935791fb594b52fd2?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.768,0.451,-9.834,0.0551,0.00619,0.0,0.732,103.033,0.6574961616664594,0.49770068303239334
1062,5NGVnEhrimV9vYwPRxsM3i,You Were Loved,https://p.scdn.co/mp3-preview/ecc81099a29e8c36b42db9d0f46adffd2a44dda2?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.652,0.28,-11.363,0.0289,0.273,6.14e-06,0.136,114.004,0.5940495456243,0.5506960747374625
1063,4w0cBvy6wMmV8iA60cTYXl,My Heart Is Calling,https://p.scdn.co/mp3-preview/fc9ef21faed0cb9dfe6ee6b02bf081f9b286c2c4?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.857,0.527,-8.694,0.0534,0.134,2.4e-06,0.509,92.904,0.7048010290883441,0.44877257050111585
1064,4JPDPdPodOHkdRAMSrO7X6,I Believe in You and Me - Record Version,https://p.scdn.co/mp3-preview/1014a25548286c93692ff7c8c75e96fca654f901?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.59,0.335,-10.66,0.0396,0.813,2.06e-05,0.129,123.94,0.6232208805344621,0.5986919011873364
1065,04Zv2pShCGDgeIu0uWan9H,Step by Step - Remix,https://p.scdn.co/mp3-preview/fc8c812d3cb2fded1bc03af3436e19346f66a499?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.809,0.711,-7.755,0.0415,0.0744,0.00248,0.668,116.02,0.7437653014647913,0.5604343583649731
1066,69NIBgceLKSU8mijUqifBB,"Who Would Imagine A King - (From ""The Preacher's Wife"") (feat. The Nativity Choir From The Preacher's Wife)",https://p.scdn.co/mp3-preview/dd84c0177eea5a27249d07672bc2a479b28f60f7?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.22,0.145,-14.496,0.0364,0.926,0.0,0.227,86.74,0.46404415120959386,0.41899738187017554
1067,7bbDkUs1DLscBOv8GuG5vw,He's All Over Me (with Shirley Caesar & Georgia Mass Choir),https://p.scdn.co/mp3-preview/16af64018162a8a6a6a9b2285fa57973015e3550?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.458,0.937,-8.237,0.119,0.739,0.0,0.736,186.729,0.7237644715548365,0.9019940295046809
