,track_id,track_name,preview_url,artist,label,artist_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,loudness_scaled
2822,3Ff5RUXCoENkZg7QTdMIOJ,Hold Me (with Teddy Pendergrass),https://p.scdn.co/mp3-preview/ca77c1d009544ede5fdd2b02d4050145e14c186d?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.545,0.377,-12.866,0.0274,0.399,0.0,0.199,0.5316818125233413
2823,5MirlDZUCR22JyZM14VRDw,Thinking About You - Bruce Forest Dance Remix,https://p.scdn.co/mp3-preview/6b1929006be2f072433f3ada947e94f66e878ca2?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.821,0.46,-11.744,0.0605,0.0202,0.00408,0.551,0.5782397609859332
2824,7f0AZTDhM4uZijI2OtiFLw,Someone For Me - Alan The Judge Coulthard Remix,https://p.scdn.co/mp3-preview/46751079afc346fad9e6688df10c40a0b45748eb?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.798,0.848,-8.274,0.05,0.0362,0.00584,0.967,0.7222291381385122
2825,3WknyQZuIAbD3RajSUMXbY,How Will I Know - The Voice - A cappella Mix,https://p.scdn.co/mp3-preview/e2ac7612bf3fa7607e110d1d56a766352769181c?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.592,0.228,-14.942,0.314,0.945,0.0,0.413,0.4455371592182249
2826,1dW1kgruSVDh57IsBfuocK,"How Will I Know - John ""Jellybean"" Benitez Remix",https://p.scdn.co/mp3-preview/82f8285e0b6a67c86eeec62790a8e6f34f2bf1e1?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.93,0.588,-10.582,0.0484,0.072,0.00039,0.729,0.6264575293580648
2827,7FHmQOpMo25rPnZeUmCLEQ,"Greatest Love of All - Live at Radio City Music Hall, New York, NY - March 1990",https://p.scdn.co/mp3-preview/ed294f12e009330ee34caa3e3053616f91d56947?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.311,0.606,-8.264,0.0702,0.63,0.0,0.265,0.7226440931158972
2828,0t6DdFmFQhQYWhmfa5FJer,You Give Good Love,https://p.scdn.co/mp3-preview/6c90582dcb56daf0f5fd7e88c278a15ca9d4a5cd?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.559,0.365,-13.654,0.0332,0.686,0.0,0.534,0.498983360305407
2829,1ZEsUSRSOuessvFDC1Kpk1,Thinking About You,https://p.scdn.co/mp3-preview/b34c7fe8b4805d46e54c7d162f8ff19bd3d99867?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.856,0.343,-16.479,0.0617,0.257,0.0,0.744,0.38175857919415757
2830,57gkU8WvqF62FTRDIIHqjH,Someone For Me,https://p.scdn.co/mp3-preview/00d87d8d1d19c6e58386ba74db0aa2c327148652?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.858,0.543,-15.417,0.0424,0.0757,0.00953,0.927,0.4258267977924397
2831,1lx8ddGT5wCD6W2xmLeRKG,Saving All My Love for You,https://p.scdn.co/mp3-preview/5f703a612c943afb43a6f7f957c60bd4566a167c?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.636,0.264,-14.567,0.0263,0.593,4.22e-05,0.264,0.4610979708701607
2832,72NcOvvGdarZaOyKMNHZ1m,Nobody Loves Me Like You Do (with Jermaine Jackson),https://p.scdn.co/mp3-preview/96c4e81a5247d67630baec562094d92ba1da7892?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.388,0.177,-17.819,0.0325,0.683,8.97e-06,0.106,0.32615461222457376
2833,5tdKaKLnC4SgtDZ6RlWeal,How Will I Know,https://p.scdn.co/mp3-preview/0fa7832143bec6065e01d55ced4fdc1964059505?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.832,0.544,-12.697,0.0442,0.201,0.000139,0.928,0.5386945516411471
2834,0g8Q1Pmem92k7PzI3VLWKz,All at Once,https://p.scdn.co/mp3-preview/962cc9c57950095d6a80df38cd46b31a2622c845?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.58,0.325,-16.16,0.0294,0.539,0.0,0.342,0.3949956429727376
2835,2rzea165xVSd8sIgBvKN8j,Take Good Care of My Heart (with Jermaine Jackson),https://p.scdn.co/mp3-preview/17a6bbc50d633c882c9d418d1c602e732d51efc7?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.71,0.591,-14.566,0.04,0.212,2.05e-06,0.841,0.46113946636789915
2836,6yJxCltgtmGxIgKOS6ndnu,Greatest Love of All,https://p.scdn.co/mp3-preview/8449ac5104cb5baec1822898bdb8ce2979c94b57?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.502,0.305,-16.011,0.0339,0.484,3.55e-06,0.248,0.4011784721357734
2837,00W1p1EeD140DHSrVjhhlR,Hold Me (with Teddy Pendergrass),https://p.scdn.co/mp3-preview/4567dc7a862486308c9d853abe07b972b2108497?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.537,0.263,-17.92,0.0291,0.379,2.81e-06,0.21,0.32196356695298567
2838,6gtZqFjRz5ONnuRCvmqNUU,Don't Cry For Me - Extended Mix,https://p.scdn.co/mp3-preview/fab79943be3bbee0a0d19176947ae29f4154e317?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.742,0.723,-5.829,0.0363,0.00388,0.00188,0.428,0.8236856301091333
2839,1uiXG9v6UF8rsdnGsd5LEJ,Don't Cry For Me,https://p.scdn.co/mp3-preview/9ca2ec1eb2bc8d3c3190b861ab31bd97e33b569a?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.604,0.603,-8.487,0.0364,0.00811,0.000135,0.248,0.7133905971202126
