,track_id,track_name,album,artist,artist_id,release_date,track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
29,3vEMbafcnn2kCXRmWNw9FB,Saving All My Love for You,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,3vEMbafcnn2kCXRmWNw9FB,0.393,0.359,-10.092,0.0323,0.538,3.99e-05,0.0961,0.237,198.475
30,0iDSjpKH1oJdPbvNYjbUmH,If You Say My Eyes Are Beautiful (with Jermaine Jackson),"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,0iDSjpKH1oJdPbvNYjbUmH,0.387,0.458,-8.443,0.0287,0.248,0,0.244,0.265,135.362
31,70JxZOkKzqWHOQQ4jrfKbn,Far Enough,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,70JxZOkKzqWHOQQ4jrfKbn,0.634,0.618,-11.528,0.0629,0.0588,0.000307,0.108,0.339,174.929
32,4rojjseHIftR2GSPneb7PV,I Wanna Dance with Somebody (Who Loves Me),"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,4rojjseHIftR2GSPneb7PV,0.708,0.81,-8.71,0.0405,0.0607,0.00132,0.187,0.879,118.863
33,4UYVkfjU4OpCvk7P6CWVOO,So Emotional,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,4UYVkfjU4OpCvk7P6CWVOO,0.706,0.808,-8.193,0.0391,0.0875,0.000291,0.105,0.784,119.125
34,26PZl6vx9DBsGjVI9K1DMr,Where Do Broken Hearts Go,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,26PZl6vx9DBsGjVI9K1DMr,0.563,0.49,-8.272,0.0281,0.436,0,0.0578,0.209,123.79
35,4iv3mMfM6ybyP7kLVWK5E8,Moment Of Truth,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,4iv3mMfM6ybyP7kLVWK5E8,0.745,0.595,-9.518,0.0294,0.423,0.00026,0.118,0.877,110.667
36,5RN7NwHMIyQZfMEW5jdRHB,I'm Your Baby Tonight,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,5RN7NwHMIyQZfMEW5jdRHB,0.661,0.877,-8.305,0.0843,0.282,3.82e-06,0.283,0.864,165.144
37,3Wi5fPdbzSLnJ4zqL1Pfnr,The Star Spangled Banner (feat. The Florida Orchestra) - Live from Super Bowl XXV,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,3Wi5fPdbzSLnJ4zqL1Pfnr,0.205,0.402,-11.628,0.0357,0.732,0,0.898,0.37,94.299
38,5vOGEMTcx7ns5CtQ5y41lo,One Moment in Time,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,5vOGEMTcx7ns5CtQ5y41lo,0.262,0.521,-8.129,0.0348,0.451,0,0.0966,0.301,154.91
